Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,DE,101 Market St,Suite 11,Atlanta,CO,70001,trade_contrib_01_standard.csv,1,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Juniper Auto Parts,DE,102 Market St,Suite 12,Atlanta,MA,70002,trade_contrib_01_standard.csv,2,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Apex Metals Ltd,IN,103 Market St,Suite 13,Miami,TX,70003,trade_contrib_01_standard.csv,3,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,EverPeak Logistics,GB,104 Market St,Suite 14,Atlanta,TX,70004,trade_contrib_01_standard.csv,4,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,EverPeak Logistics,FR,105 Market St,Suite 15,Atlanta,MA,70005,trade_contrib_01_standard.csv,5,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Delta Retail Group,FR,106 Market St,Suite 16,Miami,IL,70006,trade_contrib_01_standard.csv,6,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Juniper Auto Parts,FR,107 Market St,Suite 17,Seattle,CA,70007,trade_contrib_01_standard.csv,7,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Apex Metals Ltd,FR,108 Market St,Suite 18,Denver,TX,70008,trade_contrib_01_standard.csv,8,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Crestline Pharma,AU,109 Market St,Suite 19,Austin,CA,70009,trade_contrib_01_standard.csv,9,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Ionis Manufacturing,SG,110 Market St,Suite 20,Denver,MA,70010,trade_contrib_01_standard.csv,10,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Ionis Manufacturing,GB,111 Market St,Suite 21,Boston,CA,70011,trade_contrib_01_standard.csv,11,RETEST,csv,f7f79100-169c-4a20-afbe-fed585413ebb,ACTIVE,1,2026-03-08T12:07:32.730429+00:00,2026-03-08T12:07:32.730429+00:00,0e398bdd-747d-4ab6-b24a-45de3bb59df7,0e398bdd-747d-4ab6-b24a-45de3bb59df7,DataIngestionPOC-1.0
