Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,AU,101 Market St,Suite 11,Miami,CA,70001,trade_contrib_03_pipe.txt,1,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,BlueRiver Foods,DE,102 Market St,Suite 12,Chicago,FL,70002,trade_contrib_03_pipe.txt,2,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Granite Works,GB,103 Market St,Suite 13,Atlanta,GA,70003,trade_contrib_03_pipe.txt,3,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,BlueRiver Foods,GB,104 Market St,Suite 14,Austin,CA,70004,trade_contrib_03_pipe.txt,4,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Crestline Pharma,US,105 Market St,Suite 15,Boston,CA,70005,trade_contrib_03_pipe.txt,5,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,BlueRiver Foods,DE,106 Market St,Suite 16,Atlanta,MA,70006,trade_contrib_03_pipe.txt,6,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Ionis Manufacturing,NL,107 Market St,Suite 17,Austin,GA,70007,trade_contrib_03_pipe.txt,7,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Futura Electronics,GB,108 Market St,Suite 18,Chicago,IL,70008,trade_contrib_03_pipe.txt,8,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,EverPeak Logistics,NL,109 Market St,Suite 19,Dallas,IL,70009,trade_contrib_03_pipe.txt,9,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,EverPeak Logistics,DE,110 Market St,Suite 20,Dallas,GA,70010,trade_contrib_03_pipe.txt,10,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Crestline Pharma,GB,111 Market St,Suite 21,Dallas,CA,70011,trade_contrib_03_pipe.txt,11,RETEST2,txt,a6926cff-cdc9-4f99-b373-67e625313dd8,ACTIVE,1,2026-03-08T12:09:58.673921+00:00,2026-03-08T12:09:58.673921+00:00,26288f95-14ec-4d5c-80a6-934628563f54,26288f95-14ec-4d5c-80a6-934628563f54,DataIngestionPOC-1.0
