Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
ebb5b996-c5cd-41fa-8ae8-05b1a194bb03,92e3243d-0889-47d1-9be0-0bb32dd2f280,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,8eec7215-46cb-41aa-a2b0-324abf98ce5c,2026-03-08T10:54:28.704500+00:00
91cdc40a-3874-460f-be0a-9a607c379c51,92e3243d-0889-47d1-9be0-0bb32dd2f280,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,Company Name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,8eec7215-46cb-41aa-a2b0-324abf98ce5c,2026-03-08T10:54:28.704500+00:00
6493dbdd-90d5-44f5-9bef-b0eac06e87c5,92e3243d-0889-47d1-9be0-0bb32dd2f280,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,Country Code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,8eec7215-46cb-41aa-a2b0-324abf98ce5c,2026-03-08T10:54:28.704500+00:00
62aeb974-a442-4f49-856d-f051e52a2182,92e3243d-0889-47d1-9be0-0bb32dd2f280,282fc30d-7952-4634-91c4-c9de62f2f129,trade,customers.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,8eec7215-46cb-41aa-a2b0-324abf98ce5c,2026-03-08T10:54:28.707612+00:00
e6decef7-f9fc-435e-adc3-b7ead26dd3cc,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
3384aa5e-fc8c-4ff6-82d0-1802ed29237a,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
e11ceaa0-a19b-4483-ae26-52e86050858e,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Billing Date,billing_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,billing_date,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
7eb28e84-9a01-4bf6-9e2c-bf3a24e8eff8,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
781ab6fe-767e-4d8f-9d84-d05af1743b8f,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Gross Amount,gross_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,gross_amount,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
cb269b32-230b-4695-b77b-45de93dde9fd,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Pay Terms,pay_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,pay_terms,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
04b08b65-9ec7-4ce6-98a1-ab1f87cf396b,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
aa54b7f3-8546-4027-8a67-92d39f586941,af1afb9c-75e7-4761-a79f-abd29723e2a6,282fc30d-7952-4634-91c4-c9de62f2f129,trade,invoices.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,21085e84-bde8-4bf1-b6e4-5c9e1e71a4f2,2026-03-08T10:54:28.741907+00:00
