Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,Juniper Auto Parts,GB,101 Market St,Suite 11,Atlanta,WA,70001,trade_contrib_02_tsv.tsv,1,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Delta Retail Group,FR,102 Market St,Suite 12,Dallas,CA,70002,trade_contrib_02_tsv.tsv,2,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,EverPeak Logistics,SG,103 Market St,Suite 13,Seattle,CO,70003,trade_contrib_02_tsv.tsv,3,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Juniper Auto Parts,US,104 Market St,Suite 14,Austin,IL,70004,trade_contrib_02_tsv.tsv,4,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Crestline Pharma,NL,105 Market St,Suite 15,Chicago,GA,70005,trade_contrib_02_tsv.tsv,5,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Granite Works,US,106 Market St,Suite 16,Chicago,IL,70006,trade_contrib_02_tsv.tsv,6,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Delta Retail Group,FR,107 Market St,Suite 17,Austin,TX,70007,trade_contrib_02_tsv.tsv,7,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,BlueRiver Foods,NL,108 Market St,Suite 18,Miami,FL,70008,trade_contrib_02_tsv.tsv,8,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Crestline Pharma,DE,109 Market St,Suite 19,Denver,CA,70009,trade_contrib_02_tsv.tsv,9,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Juniper Auto Parts,GB,110 Market St,Suite 20,Chicago,IL,70010,trade_contrib_02_tsv.tsv,10,RETEST2,tsv,3fa171d1-7028-4b58-98ac-d1c291858b28,ACTIVE,1,2026-03-08T12:09:58.581209+00:00,2026-03-08T12:09:58.581209+00:00,43368cf5-5eab-4934-b323-8ea811d68b58,43368cf5-5eab-4934-b323-8ea811d68b58,DataIngestionPOC-1.0
