Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
51a722b6-1ae3-4473-afa6-57c5297205a1,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T12:09:59.191720+00:00
96400d22-7192-409e-99f6-5f7dd15d1959,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Company.Name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-03-08T12:09:59.191720+00:00
015a8476-fa6d-414d-a2e1-7b367b212762,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Government ID,government_id,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,government_id,,2026-03-08T12:09:59.191720+00:00
d18b28d6-e09f-4cac-aca7-07aa610694ef,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Country-Code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,,2026-03-08T12:09:59.191720+00:00
d0ae0adc-9057-4fc8-8ac7-a85daf99c041,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Address-1,address_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_1,,2026-03-08T12:09:59.191720+00:00
7d538cac-6c9b-494a-9ef5-584d029a069e,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Address-2,address_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_2,,2026-03-08T12:09:59.191720+00:00
113f8a7e-4d3f-4ba2-9faf-22597f68a4a5,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,City,city,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city,,2026-03-08T12:09:59.191720+00:00
f61ee929-8639-40bb-956a-d4f9029a53c1,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,State/Province,stateprovince,TRD_CUSTOMER,State,FUZZY MATCH,69,False,True,,province,,2026-03-08T12:09:59.191720+00:00
c77bc4d9-d856-4e41-9424-e4c233252ba4,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Post Code,post_code,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,post_code,,2026-03-08T12:09:59.191720+00:00
b7cda36e-2dc7-43f8-a76d-df7bc0aa42ae,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Invoice Ref,invoice_ref,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_ref,,2026-03-08T12:09:59.191720+00:00
99184ba2-bd80-4bda-93d8-4e1e2539e35f,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Invoice Date (DD/MM/YYYY),invoice_date_ddmmyyyy,TRD_INVOICE,Invoice_Date,FUZZY MATCH,66,True,False,,invoice_date,,2026-03-08T12:09:59.191720+00:00
5479056c-562b-41f6-93fa-1ec809a26cbe,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-03-08T12:09:59.191720+00:00
4eb6885d-7648-43b0-a4d3-d29a434cff0e,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Invoice Amt,invoice_amt,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amt,,2026-03-08T12:09:59.191720+00:00
8217abaf-7f74-4b6d-a5c7-ccabe65c8718,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Paid Amt,paid_amt,TRD_INVOICE,Paid_Amount,EXACT LOOKUP,100,False,True,,paid_amt,,2026-03-08T12:09:59.191720+00:00
0d7e1e61-1d12-4782-b242-7e019a9dc6ee,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Paid Dt,paid_dt,TRD_INVOICE,Paid_Date,EXACT LOOKUP,100,False,True,,paid_dt,,2026-03-08T12:09:59.191720+00:00
0b8c7446-f171-4e2a-a90b-f4ceb6e29b88,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,,2026-03-08T12:09:59.191720+00:00
3d4201b5-c23d-4b6f-b628-daa214a3d5ac,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-03-08T12:09:59.191720+00:00
3df1be09-a0f4-4901-ac77-01f6bbfeb13c,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,,2026-03-08T12:09:59.191720+00:00
af8c32f4-9a02-4434-bf7c-9d20a391b686,cfbdd018-6489-4e79-92d9-7787d48b66e3,4d58a23a-cea4-4af2-b736-33e6fb1c82eb,trade,trade_contrib_07_docx.docx,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T12:09:59.204441+00:00
