Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,GB,101 Market St,Suite 11,Denver,CA,70001,inner_trade_a.csv,1,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Juniper Auto Parts,NL,102 Market St,Suite 12,Miami,GA,70002,inner_trade_a.csv,2,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Apex Metals Ltd,DE,103 Market St,Suite 13,Boston,TX,70003,inner_trade_a.csv,3,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Crestline Pharma,GB,104 Market St,Suite 14,Dallas,CA,70004,inner_trade_a.csv,4,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Granite Works,US,105 Market St,Suite 15,Denver,IL,70005,inner_trade_a.csv,5,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Ionis Manufacturing,US,106 Market St,Suite 16,Miami,MA,70006,inner_trade_a.csv,6,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Futura Electronics,DE,107 Market St,Suite 17,Denver,TX,70007,inner_trade_a.csv,7,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Delta Retail Group,US,108 Market St,Suite 18,Seattle,TX,70008,inner_trade_a.csv,8,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Delta Retail Group,SG,109 Market St,Suite 19,Dallas,FL,70009,inner_trade_a.csv,9,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Juniper Auto Parts,SG,110 Market St,Suite 20,Seattle,MA,70010,inner_trade_a.csv,10,RETEST2,csv,7662362b-b852-41b4-a782-aca20b7966db,ACTIVE,1,2026-03-08T12:09:59.350665+00:00,2026-03-08T12:09:59.350665+00:00,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,5f62e4b2-c0df-4523-bb5b-e438db1f4dd4,DataIngestionPOC-1.0
