Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,Juniper Auto Parts,GB,101 Market St,Suite 11,Atlanta,WA,70001,trade_contrib_02_tsv.tsv,1,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Delta Retail Group,FR,102 Market St,Suite 12,Dallas,CA,70002,trade_contrib_02_tsv.tsv,2,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,EverPeak Logistics,SG,103 Market St,Suite 13,Seattle,CO,70003,trade_contrib_02_tsv.tsv,3,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Juniper Auto Parts,US,104 Market St,Suite 14,Austin,IL,70004,trade_contrib_02_tsv.tsv,4,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Crestline Pharma,NL,105 Market St,Suite 15,Chicago,GA,70005,trade_contrib_02_tsv.tsv,5,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Granite Works,US,106 Market St,Suite 16,Chicago,IL,70006,trade_contrib_02_tsv.tsv,6,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Delta Retail Group,FR,107 Market St,Suite 17,Austin,TX,70007,trade_contrib_02_tsv.tsv,7,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,BlueRiver Foods,NL,108 Market St,Suite 18,Miami,FL,70008,trade_contrib_02_tsv.tsv,8,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Crestline Pharma,DE,109 Market St,Suite 19,Denver,CA,70009,trade_contrib_02_tsv.tsv,9,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Juniper Auto Parts,GB,110 Market St,Suite 20,Chicago,IL,70010,trade_contrib_02_tsv.tsv,10,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Horizon Textiles,DE,111 Market St,Suite 21,Miami,IL,70011,trade_contrib_02_tsv.tsv,11,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10012,,TAX200012,Apex Metals Ltd,AU,112 Market St,Suite 22,Boston,GA,70012,trade_contrib_02_tsv.tsv,12,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10013,,TAX200013,Futura Electronics,GB,113 Market St,Suite 23,Chicago,IL,70013,trade_contrib_02_tsv.tsv,13,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10014,,TAX200014,Delta Retail Group,FR,114 Market St,Suite 24,Dallas,WA,70014,trade_contrib_02_tsv.tsv,14,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10015,,TAX200015,Crestline Pharma,AU,115 Market St,Suite 25,Boston,IL,70015,trade_contrib_02_tsv.tsv,15,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10016,,TAX200016,Ionis Manufacturing,SG,116 Market St,Suite 26,Dallas,GA,70016,trade_contrib_02_tsv.tsv,16,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10017,,TAX200017,Granite Works,US,117 Market St,Suite 27,Chicago,IL,70017,trade_contrib_02_tsv.tsv,17,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10018,,TAX200018,Ionis Manufacturing,DE,118 Market St,Suite 28,Miami,IL,70018,trade_contrib_02_tsv.tsv,18,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
,,TAX200019,Ionis Manufacturing,AU,119 Market St,Suite 29,Miami,FL,70019,trade_contrib_02_tsv.tsv,19,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
ACCT-10020,,TAX200020,Juniper Auto Parts,DE,120 Market St,Suite 30,Chicago,GA,70020,trade_contrib_02_tsv.tsv,20,UNKNOWN,tsv,0b902737-7153-4bbe-ba59-289a32eaedfa,ACTIVE,1,2026-03-08T12:08:50.938221+00:00,2026-03-08T12:08:50.938221+00:00,780435a8-928c-4a5b-a5b4-844a782835c8,780435a8-928c-4a5b-a5b4-844a782835c8,DataIngestionPOC-1.0
