Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
f0869ef2-e6da-403d-b21f-005e6774f1f9,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,account_number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T10:10:10.964470+00:00
a5636d1d-be32-464a-bbde-2b2ab2ab89a1,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,company_name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-03-08T10:10:10.964470+00:00
ce839d0b-be80-463e-8a0f-e9b525efd042,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,government_id,government_id,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,government_id,,2026-03-08T10:10:10.964470+00:00
5a2c35af-4444-433e-8a56-f7fc68f67dd7,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,country_code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,,2026-03-08T10:10:10.964470+00:00
3e76bb6f-e000-4b72-a8cc-981ba6e89525,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,address_1,address_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_1,,2026-03-08T10:10:10.964470+00:00
a95a5456-d5e6-4370-96f0-1699d2768605,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,address_2,address_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_2,,2026-03-08T10:10:10.964470+00:00
50b421ed-6257-48d1-bb86-5b258742103c,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,city,city,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city,,2026-03-08T10:10:10.964470+00:00
3c17b0ee-d4a5-4c67-877f-361701bcc8a3,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,state,state,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,state,,2026-03-08T10:10:10.964470+00:00
35a0898a-d2d1-43a2-ab4d-f44a051e9f0f,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,postcode,postcode,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,postcode,,2026-03-08T10:10:10.964470+00:00
f12a2466-e532-481f-9a48-30058f3f4bb0,14e45859-2ffb-4089-8872-452180205754,96e6d828-2822-4e85-a0c5-542182011f54,trade,trade_contrib_01_standard.csv,invoice_number,invoice_number,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_number,,2026-03-08T10:10:10.964470+00:00
