Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
a0c4dc30-63cd-4496-af9e-51d32ad332d6,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T10:44:26.227358+00:00
90cff3a6-179a-406f-ba7c-99ecacdaa73c,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Company,company,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company,,2026-03-08T10:44:26.227358+00:00
ff11d02a-f075-44bf-86fc-08c4ed4d71d0,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Country,country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country,,2026-03-08T10:44:26.227358+00:00
7ec2a15c-440a-481d-8d25-f1ab197c456d,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,,2026-03-08T10:44:26.227358+00:00
6b7a9d88-423d-4550-b430-6d62fd9fe164,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-03-08T10:44:26.227358+00:00
92b85d7a-f3f2-4578-b974-b59931452844,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-03-08T10:44:26.227358+00:00
5a8f01a0-2c6d-4a57-9fef-7550b24b97b0,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Invoice Amount,invoice_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amount,,2026-03-08T10:44:26.227358+00:00
214ceec9-001b-4ff5-a21e-4e7d71148f19,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,,2026-03-08T10:44:26.227358+00:00
643f9f9b-03a1-42b6-8e02-cd294036bdcb,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,,2026-03-08T10:44:26.227358+00:00
902dc68c-1041-4ad7-b175-fc91e1207b39,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-03-08T10:44:26.227358+00:00
11ac2af6-8b55-4410-911b-3b08cc82d5cf,82c962d1-f328-452b-9fd2-0c8b0db7b90a,a1584374-d877-4076-9368-a6e82ef5bd39,trade,sample_invoices.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T10:44:26.227358+00:00
