Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
7a5922d3-25c7-42a6-b3a8-d0f0e728ce61,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T12:07:33.639964+00:00
a83e5436-4a7e-44e1-9d40-88e829d948d8,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Company.Name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-03-08T12:07:33.639964+00:00
d8c3fa00-30ea-4a02-a4dc-266f2eb22b09,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Government ID,government_id,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,government_id,,2026-03-08T12:07:33.639964+00:00
d4f1bfe6-a22a-4e73-993b-cee293d96eea,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Country-Code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,,2026-03-08T12:07:33.639964+00:00
ad0b3534-1d48-4005-850e-1cb9baad6711,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Address-1,address_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_1,,2026-03-08T12:07:33.639964+00:00
1bb8fdb0-862c-4048-8995-0050281ea3df,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Address-2,address_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_2,,2026-03-08T12:07:33.639964+00:00
d0eaf111-8173-4a0e-8b2c-319138690336,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,City,city,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city,,2026-03-08T12:07:33.639964+00:00
8570e4d1-60d0-44fe-80c6-36d048c2838d,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,State/Province,stateprovince,TRD_CUSTOMER,State,FUZZY MATCH,69,False,True,,province,,2026-03-08T12:07:33.639964+00:00
aa7ed7c6-517f-4736-a71e-cc5b3bb68aec,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Post Code,post_code,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,post_code,,2026-03-08T12:07:33.639964+00:00
cf9b5783-a75e-4b4b-b842-c7906f8f1da2,06cf7f28-cff4-4baf-8499-bd9ba39edee1,aa3be520-5fc2-4ef1-9cae-f437e47ea4ca,trade,trade_contrib_07_docx.docx,Invoice Ref,invoice_ref,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_ref,,2026-03-08T12:07:33.639964+00:00
