Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
5fd247c7-73ae-4699-ac1e-cd110b6793be,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T12:42:48.040035+00:00
709d735a-4f35-4ae5-a4ca-3a69cdd66ec1,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Company,company,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company,,2026-03-08T12:42:48.040035+00:00
0ea04e8c-36ad-449b-8e08-5986b17e6aee,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Country,country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country,,2026-03-08T12:42:48.040035+00:00
f4be458e-5230-4148-a7ff-da1cf4313866,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,,2026-03-08T12:42:48.040035+00:00
542d4de2-ea51-4b93-83f9-8f5ea29ef2d7,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-03-08T12:42:48.040035+00:00
145b696f-b855-45e9-beff-95600d9a88ff,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-03-08T12:42:48.040035+00:00
a4f50cde-a224-4533-9c7d-77b3f83c6edb,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Invoice Amount,invoice_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amount,,2026-03-08T12:42:48.040035+00:00
f10198b7-780c-4eba-b9f5-953e306930fc,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,,2026-03-08T12:42:48.040035+00:00
e070e1fb-197a-4d4a-ab7a-ef3ab4c72221,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,,2026-03-08T12:42:48.040035+00:00
5f6cecb0-4be0-40fb-b910-22045d4239ac,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-03-08T12:42:48.040035+00:00
fc844bd5-8e0d-44ee-ba97-f7ed38671f08,62c599de-a6da-4f3e-8d55-5031661c0902,c805d651-0d3c-416a-bc55-0894c4fedfd1,trade,sample_invoices.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T12:42:48.040035+00:00
