Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,GB,101 Market St,Suite 11,Denver,CA,70001,inner_trade_a.csv,1,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Juniper Auto Parts,NL,102 Market St,Suite 12,Miami,GA,70002,inner_trade_a.csv,2,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Apex Metals Ltd,DE,103 Market St,Suite 13,Boston,TX,70003,inner_trade_a.csv,3,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Crestline Pharma,GB,104 Market St,Suite 14,Dallas,CA,70004,inner_trade_a.csv,4,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Granite Works,US,105 Market St,Suite 15,Denver,IL,70005,inner_trade_a.csv,5,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Ionis Manufacturing,US,106 Market St,Suite 16,Miami,MA,70006,inner_trade_a.csv,6,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Futura Electronics,DE,107 Market St,Suite 17,Denver,TX,70007,inner_trade_a.csv,7,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Delta Retail Group,US,108 Market St,Suite 18,Seattle,TX,70008,inner_trade_a.csv,8,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Delta Retail Group,SG,109 Market St,Suite 19,Dallas,FL,70009,inner_trade_a.csv,9,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Juniper Auto Parts,SG,110 Market St,Suite 20,Seattle,MA,70010,inner_trade_a.csv,10,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Granite Works,AU,111 Market St,Suite 21,Dallas,FL,70011,inner_trade_a.csv,11,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10012,,TAX200012,Horizon Textiles,NL,112 Market St,Suite 22,Chicago,TX,70012,inner_trade_a.csv,12,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10013,,TAX200013,Horizon Textiles,SG,113 Market St,Suite 23,Chicago,CO,70013,inner_trade_a.csv,13,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10014,,TAX200014,EverPeak Logistics,AU,114 Market St,Suite 24,Denver,CO,70014,inner_trade_a.csv,14,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10015,,TAX200015,BlueRiver Foods,AU,115 Market St,Suite 25,Dallas,MA,70015,inner_trade_a.csv,15,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10016,,TAX200016,Crestline Pharma,AU,116 Market St,Suite 26,Boston,MA,70016,inner_trade_a.csv,16,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10017,,TAX200017,Juniper Auto Parts,US,117 Market St,Suite 27,Boston,GA,70017,inner_trade_a.csv,17,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10018,,TAX200018,Delta Retail Group,DE,118 Market St,Suite 28,Seattle,CA,70018,inner_trade_a.csv,18,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
,,TAX200019,Ionis Manufacturing,FR,119 Market St,Suite 29,Seattle,WA,70019,inner_trade_a.csv,19,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10020,,TAX200020,Juniper Auto Parts,GB,120 Market St,Suite 30,Atlanta,TX,70020,inner_trade_a.csv,20,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
ACCT-10021,,TAX200021,Delta Retail Group,GB,121 Market St,Suite 31,Chicago,CA,70021,inner_trade_a.csv,21,RETEST,csv,d2e084bb-005c-4dfd-a1f5-f2076a890437,ACTIVE,1,2026-03-08T12:07:33.924946+00:00,2026-03-08T12:07:33.924946+00:00,cfddc8ec-5311-476f-9ee3-e283fdfd867f,cfddc8ec-5311-476f-9ee3-e283fdfd867f,DataIngestionPOC-1.0
