Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
70daf777-c62c-4ac4-97e5-4767c5bdd53c,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,invoice_account_no,invoice_account_no,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,invoice_account_no,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
24382d9b-b29a-46b2-8715-707c87d886f0,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,organization_name,organization_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,organization_name,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
6abaa500-40ab-4c05-864c-217e39855644,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,tax_number,tax_number,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,tax_number,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
1ecb378c-e4fc-40cd-a78b-8caf5c078430,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,country_iso,country_iso,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_iso,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
da03387c-1cb6-4e93-9655-59fde4498048,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,address_line_1,address_line_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_line_1,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
b8db67e8-176b-4b9f-a80b-86975f05b0a8,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,address_line_2,address_line_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_line_2,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
da954e9f-ee5d-4142-a62e-182e58cfbdcf,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,municipality,municipality,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,municipality,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
9557d561-fd31-470b-b8ab-73bb8784e0b3,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,region,region,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,region,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
003984b1-15d6-4658-b2e4-b48c72bd63fe,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,postal_cd,postal_cd,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,postal_cd,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
c129fbc7-68f1-408b-a354-4db7a802cb65,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,invoice_ref,invoice_ref,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_ref,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
270dca11-7aaa-4ae2-a4ab-f2ec2b9baaa5,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,doc_date,doc_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,doc_date,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
e45df357-a27d-4b01-af9b-6cfc08f3f0e2,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,date_due,date_due,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,date_due,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
f6cc8d20-423e-462c-81c9-742a103811b7,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,billed_amount,billed_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,billed_amount,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
fe0c0d88-921e-417e-8260-25b01b22a44f,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,amount_received,amount_received,TRD_INVOICE,Paid_Amount,EXACT LOOKUP,100,False,True,,amount_received,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
f1f56a1f-9cfe-4c3b-b733-9d57e797dc64,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,clearance_date,clearance_date,TRD_INVOICE,Paid_Date,EXACT LOOKUP,100,False,True,,clearance_date,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
128d41e0-dd10-4380-9d56-aacc5883f38a,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,selling_terms,selling_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,selling_terms,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
8fafbc9a-7d90-4332-be0a-f83b593678cb,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,iso_currency,iso_currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,iso_currency,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
0aae8235-8bf8-468f-ba10-2e406942c7a2,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,submission_date,submission_date,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,submission_date,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
7dd1dc2f-3bc8-4a0b-8078-b13983a46632,d2e084bb-005c-4dfd-a1f5-f2076a890437,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_a.csv,invoice_account_no,invoice_account_no,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,,85843985-1f36-428d-90bf-13e63849f91a,2026-03-08T12:07:33.924946+00:00
72334307-de0f-4e2a-8385-baa394e98b02,4ead1d42-3aaa-4fa8-8987-b46b45e8ca47,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_b.json,buyer_acct,buyer_acct,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,buyer_acct,ee8c3720-4807-4160-8e90-4339e4a8fb2a,2026-03-08T12:07:33.981016+00:00
88586c31-b5c0-4e18-9ab4-44a891cea87f,4ead1d42-3aaa-4fa8-8987-b46b45e8ca47,cfddc8ec-5311-476f-9ee3-e283fdfd867f,trade,inner_trade_b.json,trading_name,trading_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,trading_name,ee8c3720-4807-4160-8e90-4339e4a8fb2a,2026-03-08T12:07:33.981016+00:00
