Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
dc38c865-245c-4ebf-9e5a-9e0fe9295a19,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-08T14:43:52.033303+00:00
09b9cdec-8360-4fb9-9094-c1e9bf0cb56d,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Company Name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-03-08T14:43:52.033303+00:00
8fc35f36-54bd-4037-a5e3-1df621a6df11,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,,2026-03-08T14:43:52.033303+00:00
d2e4ccd3-0747-40f5-931c-0354a98522f7,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-03-08T14:43:52.033303+00:00
ef4120d2-438a-47c8-9237-0ceff0ca73ab,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-03-08T14:43:52.033303+00:00
8c6c1f35-40eb-4d44-be82-853c5552a827,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Pay Date,pay_date,TRD_INVOICE,Due_Date,FUZZY MATCH,76,True,False,,pay_by_date,,2026-03-08T14:43:52.033303+00:00
7e25d53b-d57e-4314-bbe0-c50c4d4967bc,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Billing Amount,billing_amount,TRD_INVOICE,Invoice_Amount,FUZZY MATCH,74,True,False,,billed_amount,,2026-03-08T14:43:52.033303+00:00
72d3cc4a-2a75-49a1-a60f-dcc9ac471a47,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Client Code,client_code,TRD_CUSTOMER,Account_Number,FUZZY MATCH,72,True,False,,client_no,,2026-03-08T14:43:52.033303+00:00
cda79cf5-4857-40cf-97bf-d1e6ca1c51f2,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Account Ref,account_ref,TRD_CUSTOMER,Account_Number,FUZZY MATCH,69,True,False,,account_no,,2026-03-08T14:43:52.033303+00:00
f7557fce-3627-490f-9155-1147990d8801,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Trans Date,trans_date,TRD_INVOICE,DOE,FUZZY MATCH,67,True,False,,data_date,,2026-03-08T14:43:52.033303+00:00
927bd633-251c-4de2-8fd6-ab3a97e08006,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Remittance Amount,remittance_amount,TRD_INVOICE,Invoice_Amount,FUZZY MATCH,64,True,False,,invoice_amount,,2026-03-08T14:43:52.033303+00:00
b8fcd47a-1da4-4f39-af59-cffdab581ee7,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Gross Value Payable,gross_value_payable,,UNMAPPED,NO MATCH,0,False,False,,,,2026-03-08T14:43:52.033303+00:00
ce359311-8c2c-498b-a385-ed6003e26944,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Principal Entity Code,principal_entity_code,,UNMAPPED,NO MATCH,0,False,False,,,,2026-03-08T14:43:52.033303+00:00
53d61e28-df2d-4f8a-bf7a-a6279fe6a50a,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Settlement Instruction CCY,settlement_instruction_ccy,,UNMAPPED,NO MATCH,0,False,False,,,,2026-03-08T14:43:52.033303+00:00
171329c3-9076-448b-8465-e4791ff2e840,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Value Snapshot Date,value_snapshot_date,,UNMAPPED,NO MATCH,0,False,False,,,,2026-03-08T14:43:52.033303+00:00
b1ca62c9-b665-4270-a0a1-46d88d66dfe7,296592cc-9aca-4e05-a9d6-4994562fc63c,e02c6d51-fab3-42c3-a6e1-e884deb48494,trade,confidence_spread_test.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-03-08T14:43:52.188290+00:00
