Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,GB,101 Market St,Suite 11,Denver,CA,70001,trade_contrib_05_json.json,1,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Juniper Auto Parts,NL,102 Market St,Suite 12,Miami,GA,70002,trade_contrib_05_json.json,2,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Apex Metals Ltd,DE,103 Market St,Suite 13,Boston,TX,70003,trade_contrib_05_json.json,3,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Crestline Pharma,GB,104 Market St,Suite 14,Dallas,CA,70004,trade_contrib_05_json.json,4,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Granite Works,US,105 Market St,Suite 15,Denver,IL,70005,trade_contrib_05_json.json,5,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Ionis Manufacturing,US,106 Market St,Suite 16,Miami,MA,70006,trade_contrib_05_json.json,6,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Futura Electronics,DE,107 Market St,Suite 17,Denver,TX,70007,trade_contrib_05_json.json,7,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Delta Retail Group,US,108 Market St,Suite 18,Seattle,TX,70008,trade_contrib_05_json.json,8,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Delta Retail Group,SG,109 Market St,Suite 19,Dallas,FL,70009,trade_contrib_05_json.json,9,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,Juniper Auto Parts,SG,110 Market St,Suite 20,Seattle,MA,70010,trade_contrib_05_json.json,10,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Granite Works,AU,111 Market St,Suite 21,Dallas,FL,70011,trade_contrib_05_json.json,11,RETEST2,json,c6ccbbbd-9125-439b-945c-a8ac738d5763,ACTIVE,1,2026-03-08T12:09:58.793220+00:00,2026-03-08T12:09:58.793220+00:00,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,e81fe6f4-3624-4d92-9bd0-9bea3a260f2d,DataIngestionPOC-1.0
