Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,BlueRiver Foods,AU,101 Market St,Suite 11,Miami,CA,70001,trade_contrib_03_pipe.txt,1,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,BlueRiver Foods,DE,102 Market St,Suite 12,Chicago,FL,70002,trade_contrib_03_pipe.txt,2,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Granite Works,GB,103 Market St,Suite 13,Atlanta,GA,70003,trade_contrib_03_pipe.txt,3,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,BlueRiver Foods,GB,104 Market St,Suite 14,Austin,CA,70004,trade_contrib_03_pipe.txt,4,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Crestline Pharma,US,105 Market St,Suite 15,Boston,CA,70005,trade_contrib_03_pipe.txt,5,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,BlueRiver Foods,DE,106 Market St,Suite 16,Atlanta,MA,70006,trade_contrib_03_pipe.txt,6,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Ionis Manufacturing,NL,107 Market St,Suite 17,Austin,GA,70007,trade_contrib_03_pipe.txt,7,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Futura Electronics,GB,108 Market St,Suite 18,Chicago,IL,70008,trade_contrib_03_pipe.txt,8,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,EverPeak Logistics,NL,109 Market St,Suite 19,Dallas,IL,70009,trade_contrib_03_pipe.txt,9,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,EverPeak Logistics,DE,110 Market St,Suite 20,Dallas,GA,70010,trade_contrib_03_pipe.txt,10,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Crestline Pharma,GB,111 Market St,Suite 21,Dallas,CA,70011,trade_contrib_03_pipe.txt,11,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10012,,TAX200012,Delta Retail Group,AU,112 Market St,Suite 22,Dallas,GA,70012,trade_contrib_03_pipe.txt,12,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10013,,TAX200013,Granite Works,DE,113 Market St,Suite 23,Dallas,CA,70013,trade_contrib_03_pipe.txt,13,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10014,,TAX200014,BlueRiver Foods,IN,114 Market St,Suite 24,Denver,CO,70014,trade_contrib_03_pipe.txt,14,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10015,,TAX200015,EverPeak Logistics,FR,115 Market St,Suite 25,Austin,CO,70015,trade_contrib_03_pipe.txt,15,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10016,,TAX200016,Ionis Manufacturing,US,116 Market St,Suite 26,Austin,FL,70016,trade_contrib_03_pipe.txt,16,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10017,,TAX200017,Granite Works,IN,117 Market St,Suite 27,Miami,WA,70017,trade_contrib_03_pipe.txt,17,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10018,,TAX200018,Juniper Auto Parts,NL,118 Market St,Suite 28,Atlanta,GA,70018,trade_contrib_03_pipe.txt,18,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
,,TAX200019,Ionis Manufacturing,IN,119 Market St,Suite 29,Chicago,IL,70019,trade_contrib_03_pipe.txt,19,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10020,,TAX200020,Ionis Manufacturing,SG,120 Market St,Suite 30,Austin,IL,70020,trade_contrib_03_pipe.txt,20,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10021,,TAX200021,Juniper Auto Parts,NL,121 Market St,Suite 31,Atlanta,MA,70021,trade_contrib_03_pipe.txt,21,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10022,,TAX200022,Crestline Pharma,FR,122 Market St,Suite 32,Miami,IL,70022,trade_contrib_03_pipe.txt,22,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10023,,TAX200023,Delta Retail Group,AU,123 Market St,Suite 33,Miami,TX,70023,trade_contrib_03_pipe.txt,23,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10024,,TAX200024,Horizon Textiles,DE,124 Market St,Suite 34,Atlanta,MA,70024,trade_contrib_03_pipe.txt,24,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10025,,TAX200025,BlueRiver Foods,GB,125 Market St,Suite 35,Boston,IL,70025,trade_contrib_03_pipe.txt,25,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10026,,TAX200026,Apex Metals Ltd,DE,126 Market St,Suite 36,Austin,TX,70026,trade_contrib_03_pipe.txt,26,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10027,,TAX200027,BlueRiver Foods,GB,127 Market St,Suite 37,Dallas,CA,70027,trade_contrib_03_pipe.txt,27,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
ACCT-10028,,TAX200028,EverPeak Logistics,AU,128 Market St,Suite 38,Austin,FL,70028,trade_contrib_03_pipe.txt,28,Harish,txt,1a55f75c-569b-4380-a392-0aed8512e38c,ACTIVE,1,2026-03-08T14:16:15.634630+00:00,2026-03-08T14:16:15.634630+00:00,e8fb5a1d-b5c9-4830-9a80-9acab4393257,e8fb5a1d-b5c9-4830-9a80-9acab4393257,DataIngestionPOC-1.0
