Account_Number,DUNS_Number,Government_ID,Company_Name,Country_Code,Address_1,Address_2,City,State,Postcode,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,,TAX200001,Horizon Textiles,GB,101 Market St,Suite 11,Chicago,FL,70001,trade_contrib_06_xml.xml,1,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10002,,TAX200002,Futura Electronics,SG,102 Market St,Suite 12,Atlanta,IL,70002,trade_contrib_06_xml.xml,2,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10003,,TAX200003,Ionis Manufacturing,SG,103 Market St,Suite 13,Dallas,CO,70003,trade_contrib_06_xml.xml,3,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10004,,TAX200004,Juniper Auto Parts,DE,104 Market St,Suite 14,Chicago,MA,70004,trade_contrib_06_xml.xml,4,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10005,,TAX200005,Granite Works,SG,105 Market St,Suite 15,Denver,IL,70005,trade_contrib_06_xml.xml,5,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10006,,TAX200006,Crestline Pharma,FR,106 Market St,Suite 16,Seattle,WA,70006,trade_contrib_06_xml.xml,6,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10007,,TAX200007,Granite Works,AU,107 Market St,Suite 17,Dallas,MA,70007,trade_contrib_06_xml.xml,7,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10008,,TAX200008,Granite Works,NL,108 Market St,Suite 18,Dallas,GA,70008,trade_contrib_06_xml.xml,8,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10009,,TAX200009,Apex Metals Ltd,US,109 Market St,Suite 19,Denver,FL,70009,trade_contrib_06_xml.xml,9,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10010,,TAX200010,BlueRiver Foods,FR,110 Market St,Suite 20,Atlanta,GA,70010,trade_contrib_06_xml.xml,10,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10011,,TAX200011,Granite Works,SG,111 Market St,Suite 21,Miami,CA,70011,trade_contrib_06_xml.xml,11,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10012,,TAX200012,EverPeak Logistics,US,112 Market St,Suite 22,Austin,WA,70012,trade_contrib_06_xml.xml,12,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
ACCT-10013,,TAX200013,Juniper Auto Parts,AU,113 Market St,Suite 23,Chicago,CO,70013,trade_contrib_06_xml.xml,13,RETEST,xml,3b946db0-1f4b-4b3d-a9e2-181e938c065e,ACTIVE,1,2026-03-08T12:07:33.187383+00:00,2026-03-08T12:07:33.187383+00:00,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,fde08ffd-f18b-43ef-b4c5-8f25dea62e1b,DataIngestionPOC-1.0
