Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
d4815bc1-29e7-4d4a-95a9-7770f93871ba,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,account_number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-03-12T12:42:56.849619+00:00
92281a30-343f-475f-a9db-0fb1033eac91,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,company_name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-03-12T12:42:56.849619+00:00
5ba0bcd5-6ca8-4753-b9d4-00680afb12b7,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,government_id,government_id,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,government_id,,2026-03-12T12:42:56.849619+00:00
41c2d3f2-17a8-4ffd-8e29-42ef23f25563,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,country_code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,,2026-03-12T12:42:56.849619+00:00
d6cd7635-192d-4f37-a151-ccfd966a4258,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,address_1,address_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_1,,2026-03-12T12:42:56.849619+00:00
585b9eb5-cc3d-47d3-bc54-42e843783bd3,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,address_2,address_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_2,,2026-03-12T12:42:56.849619+00:00
d3dd5529-4859-48c7-8fef-bb909127ea33,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,city,city,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city,,2026-03-12T12:42:56.849619+00:00
48309343-8e48-4932-a7c4-cb6257ad4cb3,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,state,state,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,state,,2026-03-12T12:42:56.849619+00:00
e3c312a1-1d48-4fb8-bccb-fb2e731c9c4d,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,postcode,postcode,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,postcode,,2026-03-12T12:42:56.849619+00:00
c386f3bf-9868-4e63-aace-0f10f7cf1ee0,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,invoice_number,invoice_number,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_number,,2026-03-12T12:42:56.849619+00:00
37075c93-5872-4392-8a98-6477640ba9f4,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,invoice_date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-03-12T12:42:56.849619+00:00
e712b499-6cf6-4bce-af92-d514d8b42297,3356c121-48cf-4ab3-9245-dbc7b7f6abcf,7a91c4fc-ba39-48ed-8811-425229c49dcc,trade,trade_contrib_01_standard.csv,due_date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-03-12T12:42:56.849619+00:00
