Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
00aff47d-4f0a-4a7a-83d5-a4e4883474c1,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
25dbe609-1efb-491f-ab6c-f4a321b1024f,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Company,company,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
639e236f-50ba-4be0-8276-09c31ad53483,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Country,country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
00508a38-1e6c-48a4-bb6b-d7ac36c3aef9,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
151ab8a5-ee81-4224-9666-628e8357f0f0,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
ba992d22-b816-4969-b994-a5cb5d5d4448,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
3d879c42-2ec4-41a0-a6ee-2eb6d8367a3c,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Invoice Amount,invoice_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amount,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
71d9a670-0659-4064-9de3-2d2c67682444,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
f2a36755-04b9-4d9d-aef7-d78758160506,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
bc49d06e-312b-47a5-9e26-b569b42a12ff,ce3783cd-ce36-40b7-b366-3a4fd3e18072,8670c83f-f7c2-4dd7-b57b-8edd0c1c6371,trade,trade_invoices_A_25.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,54a2aed4-c33e-4de2-96b1-8a43fac69c69,2026-03-12T13:43:39.341358+00:00
