Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
f2ec403f-19a2-4e17-b6bf-a405756734da,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,account_number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-04-05T15:18:26.871067+00:00
f03db5be-a50a-4704-9e7e-3a4831e7e65d,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,company_name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,,2026-04-05T15:18:26.871067+00:00
5da2b864-3d6b-4b61-b600-69b5ab7c18b9,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,duns_number,duns_number,TRD_CUSTOMER,DUNS_Number,EXACT LOOKUP,100,False,True,,duns_number,,2026-04-05T15:18:26.871067+00:00
2606be0b-f4ee-4a23-9304-acb082ba3958,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,tax_id,tax_id,TRD_CUSTOMER,Government_ID,EXACT LOOKUP,100,False,True,,tax_id,,2026-04-05T15:18:26.871067+00:00
5a259374-0cc4-472c-a41f-9a62023c7d49,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,country_code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,,2026-04-05T15:18:26.871067+00:00
b8156399-9a2d-479b-9296-343be1f01d6f,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,address_1,address_1,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,address_1,,2026-04-05T15:18:26.871067+00:00
d8723b54-b0ca-43c3-a352-cae8a34dea98,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,address_2,address_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_2,,2026-04-05T15:18:26.871067+00:00
91084616-eeee-4979-9f8c-03dcaddbe120,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,city,city,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,city,,2026-04-05T15:18:26.871067+00:00
1a9c30e4-e064-47e0-bb76-fc4ec12ab5a5,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,state,state,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,state,,2026-04-05T15:18:26.871067+00:00
97ad8f01-4b5c-448f-b79c-48ef32f6a3d5,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,postcode,postcode,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,postcode,,2026-04-05T15:18:26.871067+00:00
dae83ee8-e28c-47e7-ad96-79888b9b4a91,31a54312-602e-4446-8fb4-fce98cfc5586,5683ac57-7c16-4c5e-999f-8cfb3bb287df,trade,customers_exact.csv,account_number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-04-05T15:18:26.871067+00:00
