Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
345ef04d-638c-4a6a-bacd-c7d4e0862026,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Cust No,cust_no,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,cust_no,,2026-04-10T09:46:04.234333+00:00
50fc49eb-f5d7-4100-b4cb-4b306894532b,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Buyer Name,buyer_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,buyer_name,,2026-04-10T09:46:04.234333+00:00
3cb28a5f-a544-4a8a-b89d-5b9fbe59cf60,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Tax ID Num,tax_id_num,TRD_CUSTOMER,Government_ID,FUZZY MATCH,68,False,True,,tax_id,,2026-04-10T09:46:04.234333+00:00
9c5eee02-22db-408e-9a8a-3d06fd7c319a,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Business Nm,business_nm,TRD_CUSTOMER,Company_Name,FUZZY MATCH,83,True,True,,business_name,,2026-04-10T09:46:04.234333+00:00
63e6e8c5-d13f-42cf-85b5-ada899170f35,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,ISO Country,iso_country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,iso_country,,2026-04-10T09:46:04.234333+00:00
39df84e0-4d17-4f27-9513-216bb077a8c6,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Street Address,street_address,TRD_CUSTOMER,Address_1,EXACT LOOKUP,100,False,True,,street_address,,2026-04-10T09:46:04.234333+00:00
8c53c4af-4f0a-4e3d-9daf-e8e5f0076bf7,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Address Line 2,address_line_2,TRD_CUSTOMER,Address_2,EXACT LOOKUP,100,False,True,,address_line_2,,2026-04-10T09:46:04.234333+00:00
4d34666b-84b5-4472-8be7-9d036eab4ac2,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Town,town,TRD_CUSTOMER,City,EXACT LOOKUP,100,False,True,,town,,2026-04-10T09:46:04.234333+00:00
257063da-7445-48f3-94d1-58215dfeb6c3,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,Province,province,TRD_CUSTOMER,State,EXACT LOOKUP,100,False,True,,province,,2026-04-10T09:46:04.234333+00:00
61c9e939-62a3-4f76-a3cd-211586c34ced,7e6e427a-9b64-4df2-a247-1a54778b497e,66b1ef3f-3df5-48dc-9c0a-8cd16d1037ea,trade,customers_fuzzy.csv,ZIP Code,zip_code,TRD_CUSTOMER,Postcode,EXACT LOOKUP,100,False,True,,zip_code,,2026-04-10T09:46:04.234333+00:00
