Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
cc7d765b-ce41-452a-9b9b-bc611982f109,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,,2026-04-10T09:30:20.219624+00:00
b995bd35-5df4-4192-9ecb-e6889e365e44,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Company,company,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company,,2026-04-10T09:30:20.219624+00:00
7b83821d-e4c8-42cf-bbbe-5b912a9bd399,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Country,country,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country,,2026-04-10T09:30:20.219624+00:00
6c39cc85-0802-4479-b719-7f3c6c95c475,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,,2026-04-10T09:30:20.219624+00:00
01748b9a-fca7-4361-ac90-d3b96bdc3eb5,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Invoice Date,invoice_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,invoice_date,,2026-04-10T09:30:20.219624+00:00
f17fafa6-559f-4aa2-9625-22d7bcf669c4,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,,2026-04-10T09:30:20.219624+00:00
9a2c744a-91be-4437-884d-ff50bfc55f70,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Invoice Amount,invoice_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,invoice_amount,,2026-04-10T09:30:20.219624+00:00
e41c21d7-1cd0-42dd-bb31-13fcab5405f8,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Payment Terms,payment_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,payment_terms,,2026-04-10T09:30:20.219624+00:00
497ff19a-402e-4eeb-b866-db27c55009dc,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,DOE,doe,TRD_INVOICE,DOE,EXACT LOOKUP,100,True,True,,doe,,2026-04-10T09:30:20.219624+00:00
98d82ddc-2da2-4335-97bf-6bc2e5a76035,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Currency,currency,TRD_INVOICE,Currency,EXACT LOOKUP,100,False,True,,currency,,2026-04-10T09:30:20.219624+00:00
97ae4606-3a11-4ea5-b12c-91ca2453dc4d,d0f122ea-c08b-4d43-b056-0bbc1e1f1acd,00afcb4a-cce8-4f48-93c4-1ff36812e2a3,trade,sample_invoices.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,,2026-04-10T09:30:20.219624+00:00
