Lineage_ID,Mapping_Reference_ID,Job_ID,Domain,Source_Filename,Source_Column_Name,Source_Column_Normalised,Canonical_Table,Canonical_Column,Match_Method,Confidence_Score,Was_Mandatory,Met_Threshold,LLM_Reasoning,Lookup_Variant_Matched,Archive_Lineage_ID,Insert_Timestamp
39def201-9cfd-4352-bc81-a784a42b3698,b519b77f-33a3-4ea3-bbc5-64240159a70a,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,customers.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,f40f166d-8e81-4f93-b4eb-19e685175f5b,2026-03-12T13:06:38.468195+00:00
7f9ae853-da4a-46ae-bfd5-41cdd3ba1825,b519b77f-33a3-4ea3-bbc5-64240159a70a,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,customers.csv,Company Name,company_name,TRD_CUSTOMER,Company_Name,EXACT LOOKUP,100,True,True,,company_name,f40f166d-8e81-4f93-b4eb-19e685175f5b,2026-03-12T13:06:38.468195+00:00
28d56554-f270-4d2d-8f6a-dc569d398e4e,b519b77f-33a3-4ea3-bbc5-64240159a70a,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,customers.csv,Country Code,country_code,TRD_CUSTOMER,Country_Code,EXACT LOOKUP,100,False,True,,country_code,f40f166d-8e81-4f93-b4eb-19e685175f5b,2026-03-12T13:06:38.468195+00:00
81056edd-e739-4d16-9085-5904f0666a0c,b519b77f-33a3-4ea3-bbc5-64240159a70a,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,customers.csv,Account Number,account_number,TRD_INVOICE,Account_Number,EXACT LOOKUP,100,True,True,,,f40f166d-8e81-4f93-b4eb-19e685175f5b,2026-03-12T13:06:38.468195+00:00
a551c255-2637-477e-89e5-267b46054a89,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Account Number,account_number,TRD_CUSTOMER,Account_Number,EXACT LOOKUP,100,True,True,,account_number,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
338a914c-cc83-415a-aed6-f26f82a19b73,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Invoice No,invoice_no,TRD_INVOICE,Invoice_Number,EXACT LOOKUP,100,True,True,,invoice_no,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
70646782-dcf0-44ba-ad7b-adf1ecfbea51,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Billing Date,billing_date,TRD_INVOICE,Invoice_Date,EXACT LOOKUP,100,True,True,,billing_date,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
d66e82e2-43ad-4c4a-9f82-ce90c09f23ff,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Due Date,due_date,TRD_INVOICE,Due_Date,EXACT LOOKUP,100,True,True,,due_date,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
809b9d8d-ee06-4c7d-ae37-7ca47b736ec1,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Gross Amount,gross_amount,TRD_INVOICE,Invoice_Amount,EXACT LOOKUP,100,True,True,,gross_amount,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
7adccd3c-1aa3-4dc3-9e82-269279e7e388,6c67b5fd-a409-4afc-aeb5-0920871f2ace,4a91647b-c361-4c93-8b19-eabaf12b4967,trade,invoices.csv,Pay Terms,pay_terms,TRD_INVOICE,Payment_Terms,EXACT LOOKUP,100,True,True,,pay_terms,ba289b87-ace2-4070-bd84-b26f3b0bd1ca,2026-03-12T13:06:38.488044+00:00
